tags,description.sold_price,description.baths,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,property.sqft,property_age
"['central_air', 'central_heat', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard']",129900.0,2.0,2.0,1.0,3.0,single_family,36117,-86.178412,32.389075,Montgomery,AL,11761.0,27.0
"['city_view', 'hardwood_floors', 'two_or_more_stories', 'garage_1_or_more']",88500.0,2.0,1.0,2.0,4.0,single_family,36107,-86.273286,32.382748,Montgomery,AL,6534.0,80.0
"['carport', 'central_air', 'central_heat', 'dishwasher', 'laundry_room', 'single_story']",145000.0,2.0,0.0,1.0,3.0,single_family,36109,-86.221454,32.380023,Montgomery,AL,17424.0,56.0
"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'recreation_facilities', 'single_story']",65000.0,2.0,0.0,1.0,3.0,single_family,36107,-86.284387,32.386844,Montgomery,AL,9712.0,70.0
"['city_view', 'single_story', 'big_yard', 'fenced_yard', 'ensuite', 'new_roof']",169000.0,2.0,0.0,1.0,3.0,single_family,36106,-86.232662,32.351898,Montgomery,AL,10890.0,41.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'furniture']",180000.0,2.0,0.0,1.0,3.0,single_family,36117,-86.200885,32.405798,Montgomery,AL,12632.0,26.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'high_ceiling', 'floor_plan', 'rental_property', 'furniture', 'new_roof']",260000.0,2.0,0.0,1.0,4.0,single_family,36117,-86.161376,32.37089,Montgomery,AL,12632.0,24.0
"['single_story', 'fixer_upper']",60000.0,2.0,0.0,1.0,3.0,single_family,36116,-86.291318,32.323353,Montgomery,AL,13068.0,63.0
"['central_air', 'central_heat', 'city_view', 'dishwasher', 'fireplace', 'hardwood_floors', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'ensuite']",159000.0,2.0,2.0,1.0,3.0,single_family,36109,-86.251939,32.37021,Montgomery,AL,11326.0,60.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'high_ceiling', 'master_bedroom', 'big_lot', 'ensuite']",424900.0,3.0,0.0,2.0,3.0,single_family,36108,-86.458715,32.323992,Montgomery,AL,740520.0,51.0
"['horse_facilities', 'rental_property', 'big_lot', 'pond']",370000.0,0.0,0.0,0.0,4.0,land,36105,-86.220291,32.155112,Montgomery,AL,3397680.0,56.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'single_story', 'swimming_pool', 'corner_lot']",140000.0,2.0,0.0,1.0,3.0,single_family,36117,-86.196333,32.389801,Montgomery,AL,14375.0,56.0
"['carport', 'central_air', 'central_heat', 'city_view', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'fenced_yard', 'shopping']",149900.0,1.0,0.0,1.0,3.0,single_family,36109,-86.247999,32.393518,Montgomery,AL,13504.0,71.0
"['city_view', 'hardwood_floors', 'single_story', 'fenced_yard', 'rental_property', 'fixer_upper']",45000.0,1.0,0.0,1.0,2.0,single_family,36104,-86.312431,32.362228,Montgomery,AL,4356.0,59.0
"['central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'big_yard', 'master_bedroom', 'floor_plan', 'ensuite']",310000.0,2.0,2.0,1.0,4.0,single_family,36117,-86.134284,32.316226,Montgomery,AL,13068.0,19.0
"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'single_story', 'updated_kitchen', 'master_suite', 'shopping']",147000.0,2.0,0.0,1.0,3.0,single_family,36111,-86.257237,32.330353,Montgomery,AL,6970.0,39.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'corner_lot', 'dishwasher', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'big_lot']",195000.0,2.0,2.0,1.0,5.0,single_family,36116,-86.223595,32.336941,Montgomery,AL,16553.0,57.0
"['central_air', 'central_heat', 'city_view', 'single_story', 'garage_1_or_more', 'garage_2_or_more']",136000.0,2.0,2.0,1.0,3.0,single_family,36116,-86.287019,32.312602,Montgomery,AL,16988.0,57.0
"['carport', 'city_view', 'dishwasher', 'single_story', 'rental_property', 'medicalcare', 'shopping']",31500.0,1.0,0.0,1.0,3.0,single_family,36111,-86.289689,32.334407,Montgomery,AL,11326.0,67.0
"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'big_yard']",178000.0,2.0,0.0,1.0,4.0,single_family,36109,-86.237024,32.37289,Montgomery,AL,12632.0,58.0
"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'disability_features', 'dishwasher', 'energy_efficient', 'washer_dryer', 'single_story']",172500.0,2.0,0.0,1.0,4.0,single_family,36109,-86.231218,32.392608,Montgomery,AL,11326.0,50.0
"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'fenced_yard', 'new_roof', 'shopping']",150000.0,2.0,2.0,1.0,3.0,single_family,36116,-86.29416,32.31254,Montgomery,AL,67954.0,63.0
"['carport', 'central_air', 'city_view', 'community_outdoor_space', 'fireplace', 'hardwood_floors', 'laundry_room', 'single_story', 'wooded_land', 'front_porch', 'large_porch', 'big_lot']",170000.0,3.0,0.0,1.0,3.0,single_family,36116,-86.259551,32.273275,Montgomery,AL,313632.0,80.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'hardwood_floors', 'single_story', 'big_lot']",125000.0,1.0,0.0,1.0,3.0,single_family,36109,-86.242435,32.370027,Montgomery,AL,12632.0,68.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'cul_de_sac', 'dishwasher', 'fireplace', 'laundry_room', 'recreation_facilities', 'washer_dryer', 'single_story', 'ensuite']",162000.0,2.0,0.0,1.0,3.0,single_family,36117,-86.201805,32.352188,Montgomery,AL,6098.0,41.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'hardwood_floors', 'laundry_room', 'washer_dryer', 'single_story', 'front_porch', 'shopping']",111200.0,2.0,0.0,1.0,3.0,single_family,36107,-86.271969,32.369906,Montgomery,AL,8276.0,75.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'recreation_facilities', 'single_story', 'garage_1_or_more', 'rental_property']",63000.0,1.0,1.0,1.0,3.0,single_family,36107,-86.27008,32.375789,Montgomery,AL,7405.0,77.0
"['central_air', 'central_heat', 'city_view', 'single_story', 'rental_property']",106000.0,2.0,0.0,1.0,4.0,single_family,36111,-86.260841,32.334141,Montgomery,AL,16553.0,61.0
"['central_air', 'central_heat', 'city_view', 'community_security_features', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'master_bedroom', 'open_floor_plan', 'floor_plan']",245000.0,2.0,2.0,1.0,3.0,single_family,36117,-86.16438,32.380124,Montgomery,AL,6534.0,24.0
"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'golf_course_lot_or_frontage', 'laundry_room', 'recreation_facilities', 'community_swimming_pool', 'single_story', 'big_lot']",310000.0,3.0,0.0,1.0,4.0,single_family,36117,-86.144541,32.348511,Montgomery,AL,22651.0,36.0
"['carport', 'community_outdoor_space', 'basement', 'single_story']",100000.0,1.0,0.0,1.0,3.0,single_family,36109,-86.24679,32.378365,Montgomery,AL,15682.0,75.0
"['central_air', 'city_view', 'community_outdoor_space', 'community_security_features', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'single_story', 'master_bedroom', 'open_floor_plan', 'floor_plan']",95900.0,2.0,0.0,1.0,3.0,single_family,36117,-86.193254,32.391523,Montgomery,AL,10664.0,54.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'dishwasher', 'energy_efficient', 'fireplace', 'hardwood_floors', 'laundry_room', 'recreation_facilities', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'tennis_court', 'new_roof', 'tennis']",375000.0,4.0,2.0,2.0,4.0,single_family,36111,-86.277533,32.341846,Montgomery,AL,30056.0,85.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_park', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'lake_view', 'laundry_room', 'recreation_facilities', 'water_view', 'community_swimming_pool', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'waterfront', 'modern_kitchen', 'large_kitchen', 'pond', 'clubhouse', 'trails', 'hoa', 'maintenance']",320000.0,2.0,2.0,1.0,3.0,single_family,36117,-86.158352,32.375242,Montgomery,AL,9583.0,21.0
"['central_air', 'central_heat', 'city_view', 'single_story']",120000.0,2.0,0.0,1.0,3.0,single_family,36116,-86.240711,32.309924,Montgomery,AL,10019.0,54.0
"['central_air', 'central_heat', 'city_view', 'community_security_features', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'single_story', 'garage_1_or_more', 'garage_2_or_more', 'swimming_pool', 'fenced_yard', 'floor_plan', 'new_roof', 'shopping']",283000.0,2.0,2.0,1.0,4.0,single_family,36117,-86.167468,32.343306,Montgomery,AL,13747.0,31.0
"['carport', 'central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'fireplace', 'laundry_room', 'single_story', 'swimming_pool', 'floor_plan', 'big_lot', 'park', 'groundscare', 'maintenance', 'shopping']",284500.0,2.0,0.0,1.0,4.0,single_family,36117,-86.167057,32.341748,Montgomery,AL,15682.0,31.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'cul_de_sac', 'dishwasher', 'energy_efficient', 'fireplace', 'laundry_room', 'single_story', 'jack_and_jill_bathroom', 'master_bedroom', 'two_master_suites', 'master_suite']",160000.0,2.0,0.0,1.0,2.0,single_family,36109,-86.244298,32.389676,Montgomery,AL,4792.0,36.0
"['central_air', 'central_heat', 'city_view', 'community_outdoor_space', 'community_security_features', 'dishwasher', 'energy_efficient', 'laundry_room', 'recreation_facilities', 'basement', 'two_or_more_stories', 'garage_1_or_more', 'garage_2_or_more', 'big_bathroom', 'master_bedroom']",439900.0,4.0,2.0,2.0,4.0,single_family,36117,-86.143059,32.356445,Montgomery,AL,4356.0,3.0
