description.sold_price,description.baths,description.garage,description.stories,description.beds,description.type,location.address.postal_code,location.address.coordinate.lon,location.address.coordinate.lat,location.address.city,location.address.state_code,property.sqft,property_age,basement,central_air,community_outdoor_space,community_security_features,dining_room,dishwasher,fireplace,forced_air,garage_1_or_more,garage_2_or_more,hardwood_floors,laundry_room,recreation_facilities,shopping,single_story,two_or_more_stories,washer_dryer
129900.0,2.0,2.0,1.0,3.0,single_family,36117,-86.178412,32.389075,Montgomery,AL,11761.0,27.0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0
88500.0,2.0,1.0,2.0,4.0,single_family,36107,-86.273286,32.382748,Montgomery,AL,6534.0,80.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
145000.0,2.0,0.0,1.0,3.0,single_family,36109,-86.221454,32.380023,Montgomery,AL,17424.0,56.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
65000.0,2.0,0.0,1.0,3.0,single_family,36107,-86.284387,32.386844,Montgomery,AL,9712.0,70.0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
169000.0,2.0,0.0,1.0,3.0,single_family,36106,-86.232662,32.351898,Montgomery,AL,10890.0,41.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
180000.0,2.0,0.0,1.0,3.0,single_family,36117,-86.200885,32.405798,Montgomery,AL,12632.0,26.0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0
260000.0,2.0,0.0,1.0,4.0,single_family,36117,-86.161376,32.37089,Montgomery,AL,12632.0,24.0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0
60000.0,2.0,0.0,1.0,3.0,single_family,36116,-86.291318,32.323353,Montgomery,AL,13068.0,63.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
159000.0,2.0,2.0,1.0,3.0,single_family,36109,-86.251939,32.37021,Montgomery,AL,11326.0,60.0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1,0,0
424900.0,3.0,0.0,2.0,3.0,single_family,36108,-86.458715,32.323992,Montgomery,AL,740520.0,51.0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0
140000.0,2.0,0.0,1.0,3.0,single_family,36117,-86.196333,32.389801,Montgomery,AL,14375.0,56.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149900.0,1.0,0.0,1.0,3.0,single_family,36109,-86.247999,32.393518,Montgomery,AL,13504.0,71.0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
45000.0,1.0,0.0,1.0,2.0,single_family,36104,-86.312431,32.362228,Montgomery,AL,4356.0,59.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
310000.0,2.0,2.0,1.0,4.0,single_family,36117,-86.134284,32.316226,Montgomery,AL,13068.0,19.0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1
147000.0,2.0,0.0,1.0,3.0,single_family,36111,-86.257237,32.330353,Montgomery,AL,6970.0,39.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
195000.0,2.0,2.0,1.0,5.0,single_family,36116,-86.223595,32.336941,Montgomery,AL,16553.0,57.0,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0
136000.0,2.0,2.0,1.0,3.0,single_family,36116,-86.287019,32.312602,Montgomery,AL,16988.0,57.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
31500.0,1.0,0.0,1.0,3.0,single_family,36111,-86.289689,32.334407,Montgomery,AL,11326.0,67.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
178000.0,2.0,0.0,1.0,4.0,single_family,36109,-86.237024,32.37289,Montgomery,AL,12632.0,58.0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
172500.0,2.0,0.0,1.0,4.0,single_family,36109,-86.231218,32.392608,Montgomery,AL,11326.0,50.0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1
150000.0,2.0,2.0,1.0,3.0,single_family,36116,-86.29416,32.31254,Montgomery,AL,67954.0,63.0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0
170000.0,3.0,0.0,1.0,3.0,single_family,36116,-86.259551,32.273275,Montgomery,AL,313632.0,80.0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0
125000.0,1.0,0.0,1.0,3.0,single_family,36109,-86.242435,32.370027,Montgomery,AL,12632.0,68.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
162000.0,2.0,0.0,1.0,3.0,single_family,36117,-86.201805,32.352188,Montgomery,AL,6098.0,41.0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1
111200.0,2.0,0.0,1.0,3.0,single_family,36107,-86.271969,32.369906,Montgomery,AL,8276.0,75.0,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,1
63000.0,1.0,1.0,1.0,3.0,single_family,36107,-86.27008,32.375789,Montgomery,AL,7405.0,77.0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
106000.0,2.0,0.0,1.0,4.0,single_family,36111,-86.260841,32.334141,Montgomery,AL,16553.0,61.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
